player,pitch,x,y,release_speed,release_spin
Art Warren,Curveball,0.262652167,2.551453713,79.6,2833.5
Art Warren,Slider,0.633272134,1.777540702,85.57317073,2619.90625
Asher Wojciechowski,4-Seam Fastball,0.097292583,2.812749036,91.49797468,2234.637975
Asher Wojciechowski,Changeup,-0.351136118,2.546768296,85.42941176,2000.529412
Asher Wojciechowski,Curveball,0.480906611,1.800870999,80.62472222,2371.461111
Asher Wojciechowski,Slider,0.845220839,2.335883848,85.69823322,2407.900709
Austen Williams,4-Seam Fastball,-0.454816679,2.450571181,92.07272727,2114.363636
Austen Williams,Changeup,0.507945299,0.014790671,87.3,1607
Austen Williams,Slider,0.641974682,1.157336834,80.31176471,2099.352941
Austin Adams,2-Seam Fastball,-0.630441491,2.653238026,95.37894737,2497.105263
Austin Adams,4-Seam Fastball,-0.170044365,2.589753029,95.58338369,2410.655589
Austin Adams,Changeup,-1.0867626,2.031718033,89.81666667,1962.611111
Austin Adams,Slider,0.324267202,1.985506534,88.71469933,2774.878788
Austin Brice,4-Seam Fastball,-0.076907,3.012675139,93.11142857,2350.595918
Austin Brice,Changeup,-0.557248441,1.79855135,87.12352941,1809.30303
Austin Brice,Curveball,0.342202091,2.218458139,81.72442529,2902.893939
Austin Brice,Sinker,-0.261222094,2.259284247,93.32828947,2055.828947
Austin Davis,4-Seam Fastball,-0.316425845,2.712755433,93.76398305,2430.228814
Austin Davis,Changeup,0.398419221,2.042777264,84.81486486,2248.554054
Austin Davis,Curveball,-0.200316071,2.088608721,82.58571429,2622.4
Austin Davis,Slider,-0.460827213,2.460908545,84.54444444,2533.148148
Austin Pruitt,2-Seam Fastball,-0.632904625,2.594290492,90.95714286,2412
Austin Pruitt,4-Seam Fastball,-0.023403044,2.790141791,91.91423948,2408.100324
Austin Pruitt,Changeup,-0.530268189,1.778232431,86.09275362,1873.442029
Austin Pruitt,Curveball,0.103848838,1.632688085,81.58163265,2999.154639
Austin Pruitt,Slider,0.618290974,1.82157381,87.40357143,2657.77551
Austin Romine,4-Seam Fastball,0.232210593,3.728883039,88.5,2228
Austin Romine,Changeup,-1.201646879,4.090689999,82,2144
Austin Romine,Curveball,0.249757903,2.541187875,73.23157895,1990.421053
Austin Voth,4-Seam Fastball,-0.141369469,2.58578974,92.73075061,2200.924939
Austin Voth,Changeup,-0.548458207,1.915316075,86.04,1978.4
Austin Voth,Curveball,0.322860186,1.722857834,79.47841727,2827.355072
Austin Voth,Slider,0.820203733,1.525554676,86.65194805,2503.205479
Ben Heller,2-Seam Fastball,-0.343052049,2.344899237,93.128,2405.3
Ben Heller,Changeup,-0.580028689,1.905361822,84.925,1472.625
Ben Heller,Curveball,0.014469394,2.201436171,81,2413
Ben Heller,Slider,0.745627657,1.885395457,83.15116279,2392.675
Ben Lively,2-Seam Fastball,2.193328552,1.974827875,94.1,1970
Ben Lively,4-Seam Fastball,0.236859799,2.645759508,92.16428571,2024.642857
Ben Lively,Curveball,0.116219873,1.539097678,74.525,2022.583333
Ben Zobrist,Changeup,0.706715824,3.612255941,82.75,2165.75
Ben Zobrist,Curveball,-0.107470883,2.123762945,74.33333333,2005.8
Blaine Hardy,2-Seam Fastball,0.954272132,2.085556526,88.79230769,2172.538462
Blaine Hardy,4-Seam Fastball,0.257260888,2.6517623,88.1719697,2235.181818
Blaine Hardy,Changeup,0.608634867,2.017607667,79.24854369,1981.579288
Blaine Hardy,Curveball,-0.119445558,1.652648849,76.52463768,1951.818841
Blaine Hardy,Cutter,-0.363291523,2.508954818,86.06804124,2356.762887
Blake Parker,4-Seam Fastball,0.190018446,2.789888802,91.23368421,2140.256842
Blake Parker,Curveball,0.242285837,2.296047597,76.01518987,2170.363057
Blake Parker,Cutter,0.77428124,2.701499055,88.05322581,2180.564516
Blake Parker,Split Finger,-0.079990623,1.572343431,79.91230769,1045.184564
Blake Snell,4-Seam Fastball,0.025549983,2.992766811,95.51673961,2352.904814
Blake Snell,Changeup,0.687201812,1.543345291,86.30025974,1821.103896
Blake Snell,Curveball,-0.290130994,1.110582618,80.96961207,2464.43319
Blake Snell,Slider,-0.678164768,1.20741616,87.26141732,2366.920635
Blake Treinen,4-Seam Fastball,0.177262311,2.785946502,97.02697674,2414.497674
Blake Treinen,Cutter,0.599722296,2.343627985,93.17539267,2488.73822
Blake Treinen,Sinker,-0.538671693,1.895656261,96.51597374,2250.339168
Blake Treinen,Slider,0.753543239,1.518047399,88.51167883,2609.111111
Bobby Poyner,4-Seam Fastball,0.019530595,3.11041875,89.34662162,2262.398649
Bobby Poyner,Changeup,0.539663508,2.466042985,82.42439024,2267.268293
Bobby Poyner,Curveball,-1.269249962,1.646540931,77,2466
Bobby Poyner,Slider,-0.726078393,2.030943132,82.82352941,2343.757576
Brad Boxberger,4-Seam Fastball,-0.043739721,2.58691368,90.03865546,2212.466387
Brad Boxberger,Changeup,-0.043338196,1.472728711,78.19751553,1320.080745
Brad Boxberger,Slider,0.339045922,1.924072138,85.32840909,2241.715909
Brad Brach,2-Seam Fastball,-0.709709905,2.051771662,92.53387097,2117.048387
Brad Brach,4-Seam Fastball,0.186250417,2.500193892,94.05915789,2209.877895
Brad Brach,Changeup,-0.373289688,1.489311999,86.58085106,1870.87234
Brad Brach,Cutter,0.51306901,2.387242743,91.01898734,2389.78481
Brad Brach,Slider,0.407852962,1.784834455,85.41088083,2509.333333
Brad Hand,2-Seam Fastball,0.607012638,2.171988833,91.92121212,2302.727273
Brad Hand,4-Seam Fastball,-0.124055405,2.413909805,92.73341646,2420.431421
Brad Hand,Slider,-0.210609582,1.858261178,81.16933594,2473.968627
Brad Keller,2-Seam Fastball,-0.360703687,2.330334491,92.83033382,2100.092888
Brad Keller,4-Seam Fastball,0.182445918,2.789592424,93.66557811,2295.027361
Brad Keller,Changeup,-0.087585395,2.095062925,87.76578947,1698.027027
Brad Keller,Slider,0.116472945,1.414254354,84.94465335,2509.783099
Brad Peacock,2-Seam Fastball,-0.029669243,1.920750508,91.77638298,2230.361702
Brad Peacock,4-Seam Fastball,0.019035898,2.490035144,92.54067797,2295.815981
Brad Peacock,Changeup,-0.209039225,1.740692857,83.38555556,1970.088889
Brad Peacock,Knuckle Curve,0.033004854,1.486925558,78.60192308,2598.567308
Brad Peacock,Slider,0.510289393,1.804027484,81.28032407,2751.49
Brad Wieck,4-Seam Fastball,-0.081161897,2.872253726,93.74580777,2226.705521
Brad Wieck,Curveball,-0.207537822,2.507405628,74.6875,2174.333333
Brad Wieck,Knuckle Curve,-0.423695213,2.081035475,74.9244898,2407.142857
Brad Wieck,Slider,-0.401167328,1.760956004,84.14285714,2057.639344
Brady Lail,4-Seam Fastball,-0.448694859,2.822439925,91.64761905,2476.952381
Brady Lail,Changeup,-0.855155456,1.560826917,87.96842105,1791.842105
Brady Lail,Curveball,0.289675388,0.162770644,81.2,2540
Brady Lail,Slider,0.584359025,1.181586091,85.58,2687.6
